 -2.08123679252003,0.283519663546212,2.28520911558152,-0.585835482575589,-0.0628616145440316,0.814400312606785,0.420482011959151,0.323410199614269,0.127785776951557,-0.516635105648866,1.27431943756612,0.174813613416456,-1.20110200853179,0.039723245190538,0.270308257893842,0.915683605071426,-0.989931362905268,-0.0407021679205645,-2.58132621610944,-0.789883302913952,0.169388257085135,0.546637589829804,-0.45309100042362,-0.314429708501216,0.205654673767367,-0.596683640665897,-0.308491624792669,0.115894641437754,144.0|137949|0
-0.254687735739877,0.798912185006133,1.48281287913396,0.250778751855315,0.0985451635210582,-0.29343199795186,0.432571812634784,0.0658538744748578,0.106200211404392,-0.54614168424558,-1.25353564749147,-0.364005626785509,-0.392993569607493,0.00469628768537891,0.4202718779832,0.39656078764796,-0.824368013520369,0.495658575382062,-0.899181617365504,-0.221681566074785,0.322206662299687,1.01511857688172,-0.208470999681761,-0.108086462839654,-0.450811994763483,-0.627923245273063,0.236432138877602,0.199237358042701,1.0|138502|0
1.88312929467733,-0.552847201202584,-0.63782960088525,0.171371306710073,0.219760429072439,1.45792694976476,-0.880702756541074,0.46078156087943,1.43270872628777,-0.313557320501945,-0.652151864216917,0.710761418583284,0.414374111661672,-0.204604123697608,1.27968901757216,-0.678502488698081,0.15771041343817,-1.0260116144398,-1.15479445947033,-0.256814787454209,0.24824018779872,1.05514328730687,0.191125341815476,-0.531083023173547,-0.235428497479699,-0.135513136938378,0.0878140379426509,-0.0430247755010599,9.99|28236|0
-0.274747309493951,0.0819759621296523,-0.0830383100550592,0.363717955606318,-0.860228890915551,-0.154552888311025,0.413451123460575,0.455189560496003,0.766121222279307,-0.843733027285787,-2.13071305991514,-0.733757868117987,-2.1233561159188,0.263415222076017,-1.30645333182364,-0.634710993193757,0.471573403194352,0.0812252299190496,0.340217370873311,-0.0996894845417474,0.424277555524155,1.18542111541522,0.181499840239992,-0.0473521632460223,-0.33306704278072,0.630000869191992,-0.0835743153962298,0.0100238243869486,151.49|35826|0
1.65849339971388,-1.75213282389416,-0.777169305779468,-0.583358536046653,-1.35457104351461,-0.670246026309806,-0.569279174179152,-0.271545456464324,-0.0176322816413459,0.592691659569897,-0.803585571009829,-0.0500563587136229,1.16363289506661,-0.608934871777107,0.11843170099058,1.18448978270372,0.0414840791416389,-1.15868563092832,0.407263994034786,0.570724385389868,0.484895160254796,0.928456424016542,-0.127925175240266,-0.034578594868181,-0.198934625709513,-0.112094732997018,-0.0342697569201061,-0.00100031645670075,279.0|94681|0
2.34502349513732,-1.42173674379599,-1.44707617810226,-1.89684503655639,-0.64827065111864,0.0838513877644388,-1.15008822353486,-0.0347047822539168,-1.34981572000435,1.75478121868738,-0.539782921424101,-0.708191210757606,0.201664597764998,-0.199015850835383,-0.738576520446733,-0.0776274424858197,-0.148235494154438,0.740842535359738,0.605562324116829,-0.420607733419389,-0.205623477570863,-0.0989499274687256,0.0579906769036209,-1.47166848799602,-0.0412633085172216,-0.0886807511748568,0.00423926987516457,-0.0767500438799029,15.0|81878|0
-0.22028064413354,0.519462127973359,0.973860456574867,-0.993644910445483,0.692009794659565,-0.12587910887562,0.578727049424649,-0.00892918497229167,0.118231519254804,-0.926720452134539,-1.75865371899659,0.402222705798133,1.40509402346418,-0.504715047876336,-0.297322945101059,0.865436791529858,-1.28280000078432,-0.177555152352882,-0.468831625725299,-0.0425435237996235,-0.242567717136507,-0.697063837026102,-0.0437777452937897,-1.01005804226865,-0.243487598492245,-0.109719719435294,0.00950912769920786,0.0279755399787785,18.5|52396|0
-0.633673923990089,-0.335213184228437,0.979401819433301,-3.20681380622887,-0.0940283755559945,-0.264146705201258,0.106174715340332,-0.0370586496387466,-2.10008422833087,0.595283968557762,-2.11733221875082,-1.66785480616333,0.185026592113968,-0.57593918213403,-0.65828904458975,-0.215203677348775,-2.64224519903114E-4,0.218721938010526,-0.387612023826389,-0.136561057187649,-0.263712396701722,-0.333999294616096,-0.44568216818974,-1.09551048887104,0.905107337071764,-0.0354373507666636,0.249203743391813,0.0968618881403895,35.0|137130|0
-0.790014663955363,0.874646767477144,1.71162834145287,-1.35229889476701,0.432770805788085,-0.771442995592354,1.04387681657327,-0.0843345333337428,-0.709816001353284,-1.10137976199634,0.00428371346919029,0.413589595208663,0.536061038332258,0.126075064374328,0.554552378292915,0.0876406381971109,-0.260955995313003,-1.46656293764229,-0.642837654827032,-0.0351783729455397,-0.431353757192296,-1.38376776104878,0.0197620078981506,0.0840573054796435,-0.0681976183599011,0.467062238420119,-0.0659897557902839,0.0472012068751794,13.0|28899|0
-2.88339871087247,-1.39070113788198,0.543585154303439,-2.05489430850839,-0.730436904704108,-1.44085222966837,-0.696462081120328,0.670467301519064,-2.93054205209933,0.700932007485734,0.648052979623582,-0.844603726050281,-0.917447158721811,0.722983729792364,-0.68476938525886,0.199438070819382,0.488130120993443,0.255780032116472,-0.00344165287858533,-1.21658034645435,-0.594178734404579,-1.15584371452817,1.10876139210908,0.224574517364392,0.504270067916794,-0.58086183966866,-0.146904123179475,-0.321057386574691,58.75|95564|0
